Organ	Predictor	UKBPPP.Protein.ID	Assay.Target	UniProt.ID	Olink.ID	Protein.Panel	Gene.Symbol	QR0.025	QR0.1	QR0.2	QR0.3	QR0.4	QR0.5	QR0.6	QR0.7	QR0.8	QR0.9	QR0.975
Organismal	EPHA4	EPHA4:P54764:OID30622:v1	EPHA4	P54764	OID30622	Inflammation_II	EPHA4	-0.0287369388458589	-0.0143554081719217	-0.105682275205287	-0.0998086518905262	-0.171474487721367	-0.108600327813026	-0.105679551639243	-0.0435272291350934	-0.10599863716404	-0.153123087195104	-0.0195028711920644
Organismal	EPHB4	EPHB4:P54760:OID20242:v1	EPHB4	P54760	OID20242	Cardiometabolic	EPHB4	-0.0313538229655143	-0.189804921007575	-0.18090897440652	-0.104603963299648	0	-0.00565671394831217	-0.0361584142991966	0	0	0	-0.0765831401215523
Organismal	EPHB6	EPHB6:O15197:OID20982:v1	EPHB6	O15197	OID20982	Neurology	EPHB6	-0.00212327771535739	-0.00453301993510711	-0.116047300371789	-0.0676107562695401	-0.0826260467320557	-0.0617256395864972	-0.0614677434715229	-0.0254200416077839	-0.0151388345607905	-0.00118749668358948	-0.0183535482089143
Organismal	EPHX2	EPHX2:P34913:OID20119:v1	EPHX2	P34913	OID20119	Cardiometabolic	EPHX2	0	0	0	0	0	-0.00913812267579646	-0.0136729620681097	-0.0445588900191401	-0.0296580731604102	-0.0205339081780266	-0.0499532611961176
Organismal	EPN1	EPN1:Q9Y6I3:OID31252:v1	EPN1	Q9Y6I3	OID31252	Oncology_II	EPN1	0	0	0.00871870263379025	0	0.0524302934742131	0.0591535371062895	0.0373663006382421	0.0320062420926059	0.056934015702827	0.0604288390042575	0.00795861602415207
Organismal	EPPK1	EPPK1:P58107:OID30250:v1	EPPK1	P58107	OID30250	Cardiometabolic_II	EPPK1	-0.045837001932879	0	0	0	0.0160286712482285	0.0117979101378616	0.019028124589375	0.0176817842280259	0	0.0264429869332129	0
Organismal	EPS8L2	EPS8L2:Q9H6S3:OID21397:v1	EPS8L2	Q9H6S3	OID21397	Oncology	EPS8L2	0	0	-0.0576434641996705	-0.0457719979652039	-0.0190531708094839	0	0	0	0	0.00427872289313126	0
Organismal	ERBB2	ERBB2:P04626:OID21520:v1	ERBB2	P04626	OID21520	Oncology	ERBB2	0	0	0	0	0	0	0	0	0	0.000267956628408268	0
Organismal	ERBB3	ERBB3:P21860:OID20705:v1	ERBB3	P21860	OID20705	Inflammation	ERBB3	-0.00685132527040465	-0.0550673752403659	0	-0.00333789824284686	-0.00609418289713575	0	0	0	0	0	0
Organismal	ERBB4	ERBB4:Q15303:OID21510:v1	ERBB4	Q15303	OID21510	Oncology	ERBB4	0.14519667630798	0.178369728604921	0.169362093713849	0.169823755781911	0.189709497663311	0.228581840874284	0.254402340299871	0.248134571141068	0.267830304615156	0.31616893857294	0.192982103638413
Organismal	ERBIN	ERBIN:Q96RT1:OID21323:v1	ERBIN	Q96RT1	OID21323	Oncology	ERBIN	0	0	0	0	0	0	0	0	0	0	0
Organismal	ERC2	ERC2:O15083:OID30880:v1	ERC2	O15083	OID30880	Neurology_II	ERC2	0	0	0.030604936783242	0.0203512534320377	0.00109001289524034	0	0	0	0.000586413801597826	0	0
Organismal	ERCC1	ERCC1:P07992:OID31223:v1	ERCC1	P07992	OID31223	Oncology_II	ERCC1	0	0	0	-0.00262083477855064	-0.0296962609570884	-0.0191516141961801	-0.0303249903817595	-0.00173008274547566	0	0	0
Organismal	EREG	EREG:O14944:OID20905:v1	EREG	O14944	OID20905	Neurology	EREG	0	0	0.0766886450459673	0.0568206672323827	0.0709306865437109	0.0583325914717049	0.0424862613042674	0.0400829091053637	0	0.0866307702880512	0.0604109638786279
Organismal	ERI1	ERI1:Q8IV48:OID31317:v1	ERI1	Q8IV48	OID31317	Oncology_II	ERI1	0	0	0.0116922773414801	0	0	0	0	0	0.0167960252468741	0.015406648025926	0
